Collection date,BA.5/BF.7/DY,XBB,EG.5/HK,Others,Dominant sublineages,,Year-Month,BA.5/BF.7/DY,XBB,EG.5/HK,Others,Dominant sublineages
2020/12/17,0,0,0,1,Others,,,,,,,
2020/12/18,0,0,0,1,Others,,,,,,,
2020/12/28,0,0,0,2,Others,,,,,,,
2020/12/31,0,0,0,1,Others,,,,,,,
2021/1/2,0,0,0,3,Others,,,,,,,
2021/1/3,0,0,0,8,Others,,,,,,,
2021/1/4,0,0,0,4,Others,,,,,,,
2021/1/8,0,0,0,1,Others,,,,,,,
2021/1/12,0,0,0,2,Others,,,,,,,
2021/1/13,0,0,0,3,Others,,,,,,,
2021/1/15,0,0,0,5,Others,,,,,,,
2021/1/17,0,0,0,1,Others,,,,,,,
2021/1/18,0,0,0,2,Others,,,,,,,
2021/1/19,0,0,0,6,Others,,,,,,,
2021/1/20,0,0,0,4,Others,,,,,,,
2021/1/21,0,0,0,2,Others,,,,,,,
2021/1/22,0,0,0,1,Others,,,,,,,
2021/1/23,0,0,0,1,Others,,,,,,,
2021/1/24,0,0,0,2,Others,,,,,,,
2021/1/25,0,0,0,2,Others,,,,,,,
2021/1/28,0,0,0,1,Others,,,,,,,
2021/1/29,0,0,0,1,Others,,,,,,,
2021/1/30,0,0,0,2,Others,,,,,,,
2021/2/1,0,0,0,4,Others,,,,,,,
2021/2/2,0,0,0,1,Others,,,,,,,
2021/2/7,0,0,0,1,Others,,,,,,,
2021/3/18,0,0,0,1,Others,,,,,,,
2021/3/19,0,0,0,1,Others,,,,,,,
2021/3/25,0,0,0,1,Others,,,,,,,
2021/3/29,0,0,0,1,Others,,,,,,,
2021/3/30,0,0,0,20,Others,,,,,,,
2021/3/31,0,0,0,15,Others,,,,,,,
2021/4/1,0,0,0,5,Others,,,,,,,
2021/4/2,0,0,0,7,Others,,,,,,,
2021/4/3,0,0,0,4,Others,,,,,,,
2021/4/4,0,0,0,8,Others,,,,,,,
2021/4/5,0,0,0,1,Others,,,,,,,
2021/4/6,0,0,0,1,Others,,,,,,,
2021/4/7,0,0,0,8,Others,,,,,,,
2021/4/8,0,0,0,3,Others,,,,,,,
2021/4/10,0,0,0,1,Others,,,,,,,
2021/4/12,0,0,0,2,Others,,,,,,,
2021/4/17,0,0,0,2,Others,,,,,,,
2021/4/24,0,0,0,7,Others,,,,,,,
2021/5/4,0,0,0,3,Others,,,,,,,
2021/5/12,0,0,0,1,Others,,,,,,,
2021/5/13,0,0,0,18,Others,,,,,,,
2021/5/14,0,0,0,4,Others,,,,,,,
2021/5/15,0,0,0,1,Others,,,,,,,
2021/5/16,0,0,0,5,Others,,,,,,,
2021/5/21,0,0,0,9,Others,,,,,,,
2021/5/22,0,0,0,1,Others,,,,,,,
2021/5/23,0,0,0,3,Others,,,,,,,
2021/5/24,0,0,0,2,Others,,,,,,,
2021/5/25,0,0,0,2,Others,,,,,,,
2021/5/26,0,0,0,4,Others,,,,,,,
2021/5/27,0,0,0,4,Others,,,,,,,
2021/5/28,0,0,0,6,Others,,,,,,,
2021/5/29,0,0,0,9,Others,,,,,,,
2021/5/30,0,0,0,10,Others,,,,,,,
2021/5/31,0,0,0,9,Others,,,,,,,
2021/6/1,0,0,0,12,Others,,,,,,,
2021/6/2,0,0,0,10,Others,,,,,,,
2021/6/3,0,0,0,6,Others,,,,,,,
2021/6/4,0,0,0,7,Others,,,,,,,
2021/6/5,0,0,0,7,Others,,,,,,,
2021/6/6,0,0,0,6,Others,,,,,,,
2021/6/7,0,0,0,7,Others,,,,,,,
2021/6/8,0,0,0,5,Others,,,,,,,
2021/6/9,0,0,0,2,Others,,,,,,,
2021/6/10,0,0,0,10,Others,,,,,,,
2021/6/11,0,0,0,11,Others,,,,,,,
2021/6/12,0,0,0,3,Others,,,,,,,
2021/6/13,0,0,0,4,Others,,,,,,,
2021/6/14,0,0,0,1,Others,,,,,,,
2021/6/15,0,0,0,3,Others,,,,,,,
2021/6/17,0,0,0,2,Others,,,,,,,
2021/6/18,0,0,0,2,Others,,,,,,,
2021/6/19,0,0,0,2,Others,,,,,,,
2021/6/22,0,0,0,4,Others,,,,,,,
2021/6/25,0,0,0,2,Others,,,,,,,
2021/6/26,0,0,0,1,Others,,,,,,,
2021/6/27,0,0,0,3,Others,,,,,,,
2021/6/29,0,0,0,1,Others,,,,,,,
2021/7/1,0,0,0,2,Others,,,,,,,
2021/7/3,0,0,0,4,Others,,,,,,,
2021/7/4,0,0,0,4,Others,,,,,,,
2021/7/5,0,0,0,12,Others,,,,,,,
2021/7/7,0,0,0,3,Others,,,,,,,
2021/7/8,0,0,0,16,Others,,,,,,,
2021/7/10,0,0,0,13,Others,,,,,,,
2021/7/11,0,0,0,3,Others,,,,,,,
2021/7/12,0,0,0,1,Others,,,,,,,
2021/7/13,0,0,0,2,Others,,,,,,,
2021/7/15,0,0,0,3,Others,,,,,,,
2021/7/16,0,0,0,4,Others,,,,,,,
2021/7/17,0,0,0,8,Others,,,,,,,
2021/7/18,0,0,0,13,Others,,,,,,,
2021/7/19,0,0,0,1,Others,,,,,,,
2021/7/20,0,0,0,1,Others,,,,,,,
2021/7/21,0,0,0,1,Others,,,,,,,
2021/7/23,0,0,0,1,Others,,,,,,,
2021/7/24,0,0,0,2,Others,,,,,,,
2021/7/25,0,0,0,1,Others,,,,,,,
2021/7/26,0,0,0,1,Others,,,,,,,
2021/7/27,0,0,0,7,Others,,,,,,,
2021/7/28,0,0,0,3,Others,,,,,,,
2021/7/29,0,0,0,1,Others,,,,,,,
2021/7/30,0,0,0,5,Others,,,,,,,
2021/7/31,0,0,0,3,Others,,,,,,,
2021/8/1,0,0,0,8,Others,,,,,,,
2021/8/2,0,0,0,2,Others,,,,,,,
2021/8/3,0,0,0,10,Others,,,,,,,
2021/8/4,0,0,0,7,Others,,,,,,,
2021/8/5,0,0,0,1,Others,,,,,,,
2021/8/6,0,0,0,3,Others,,,,,,,
2021/8/7,0,0,0,5,Others,,,,,,,
2021/8/8,0,0,0,1,Others,,,,,,,
2021/8/9,0,0,0,2,Others,,,,,,,
2021/8/10,0,0,0,2,Others,,,,,,,
2021/8/11,0,0,0,4,Others,,,,,,,
2021/8/12,0,0,0,1,Others,,,,,,,
2021/8/13,0,0,0,4,Others,,,,,,,
2021/8/14,0,0,0,1,Others,,,,,,,
2021/8/15,0,0,0,1,Others,,,,,,,
2021/8/16,0,0,0,1,Others,,,,,,,
2021/8/17,0,0,0,1,Others,,,,,,,
2021/8/18,0,0,0,2,Others,,,,,,,
2021/8/19,0,0,0,3,Others,,,,,,,
2021/8/20,0,0,0,3,Others,,,,,,,
2021/8/23,0,0,0,1,Others,,,,,,,
2021/8/24,0,0,0,1,Others,,,,,,,
2021/8/25,0,0,0,3,Others,,,,,,,
2021/8/26,0,0,0,11,Others,,,,,,,
2021/8/29,0,0,0,1,Others,,,,,,,
2021/9/1,0,0,0,1,Others,,,,,,,
2021/9/3,0,0,0,1,Others,,,,,,,
2021/9/10,0,0,0,33,Others,,,,,,,
2021/9/11,0,0,0,7,Others,,,,,,,
2021/9/12,0,0,0,38,Others,,,,,,,
2021/9/13,0,0,0,9,Others,,,,,,,
2021/9/14,0,0,0,40,Others,,,,,,,
2021/9/15,0,0,0,17,Others,,,,,,,
2021/9/16,0,0,0,45,Others,,,,,,,
2021/9/17,0,0,0,13,Others,,,,,,,
2021/9/18,0,0,0,5,Others,,,,,,,
2021/9/19,0,0,0,8,Others,,,,,,,
2021/9/20,0,0,0,3,Others,,,,,,,
2021/9/21,0,0,0,15,Others,,,,,,,
2021/9/22,0,0,0,22,Others,,,,,,,
2021/9/23,0,0,0,27,Others,,,,,,,
2021/9/24,0,0,0,5,Others,,,,,,,
2021/9/25,0,0,0,6,Others,,,,,,,
2021/9/26,0,0,0,9,Others,,,,,,,
2021/9/27,0,0,0,10,Others,,,,,,,
2021/9/28,0,0,0,8,Others,,,,,,,
2021/9/29,0,0,0,5,Others,,,,,,,
2021/9/30,0,0,0,9,Others,,,,,,,
2021/10/1,0,0,0,1,Others,,,,,,,
2021/10/2,0,0,0,1,Others,,,,,,,
2021/10/3,0,0,0,4,Others,,,,,,,
2021/10/5,0,0,0,1,Others,,,,,,,
2021/10/9,0,0,0,2,Others,,,,,,,
2021/10/11,0,0,0,2,Others,,,,,,,
2021/10/15,0,0,0,1,Others,,,,,,,
2021/10/17,0,0,0,4,Others,,,,,,,
2021/10/18,0,0,0,1,Others,,,,,,,
2021/10/19,0,0,0,1,Others,,,,,,,
2021/10/20,0,0,0,6,Others,,,,,,,
2021/10/21,0,0,0,8,Others,,,,,,,
2021/10/22,0,0,0,3,Others,,,,,,,
2021/10/23,0,0,0,3,Others,,,,,,,
2021/10/24,0,0,0,2,Others,,,,,,,
2021/10/26,0,0,0,2,Others,,,,,,,
2021/10/27,0,0,0,1,Others,,,,,,,
2021/10/28,0,0,0,8,Others,,,,,,,
2021/10/29,0,0,0,14,Others,,,,,,,
2021/10/30,0,0,0,11,Others,,,,,,,
2021/10/31,0,0,0,11,Others,,,,,,,
2021/11/1,0,0,0,13,Others,,,,,,,
2021/11/2,0,0,0,5,Others,,,,,,,
2021/11/3,0,0,0,37,Others,,,,,,,
2021/11/4,0,0,0,11,Others,,,,,,,
2021/11/5,0,0,0,32,Others,,,,,,,
2021/11/6,0,0,0,8,Others,,,,,,,
2021/11/7,0,0,0,12,Others,,,,,,,
2021/11/8,0,0,0,3,Others,,,,,,,
2021/11/9,0,0,0,16,Others,,,,,,,
2021/11/10,0,0,0,13,Others,,,,,,,
2021/11/11,0,0,0,17,Others,,,,,,,
2021/11/12,0,0,0,78,Others,,,,,,,
2021/11/13,0,0,0,26,Others,,,,,,,
2021/11/14,0,0,0,10,Others,,,,,,,
2021/11/15,0,0,0,5,Others,,,,,,,
2021/11/16,0,0,0,9,Others,,,,,,,
2021/11/17,0,0,0,2,Others,,,,,,,
2021/11/18,0,0,0,8,Others,,,,,,,
2021/11/20,0,0,0,1,Others,,,,,,,
2021/11/21,0,0,0,7,Others,,,,,,,
2021/11/22,0,0,0,2,Others,,,,,,,
2021/11/23,0,0,0,2,Others,,,,,,,
2021/11/24,0,0,0,1,Others,,,,,,,
2021/11/26,0,0,0,3,Others,,,,,,,
2021/11/27,0,0,0,3,Others,,,,,,,
2021/11/28,0,0,0,2,Others,,,,,,,
2021/12/1,0,0,0,3,Others,,,,,,,
2021/12/2,0,0,0,1,Others,,,,,,,
2021/12/3,0,0,0,5,Others,,,,,,,
2021/12/4,0,0,0,10,Others,,,,,,,
2021/12/5,0,0,0,2,Others,,,,,,,
2021/12/6,0,0,0,5,Others,,,,,,,
2021/12/7,0,0,0,3,Others,,,,,,,
2021/12/8,0,0,0,6,Others,,,,,,,
2021/12/9,0,0,0,4,Others,,,,,,,
2021/12/11,0,0,0,1,Others,,,,,,,
2021/12/12,0,0,0,5,Others,,,,,,,
2021/12/13,0,0,0,1,Others,,,,,,,
2021/12/16,0,0,0,3,Others,,,,,,,
2021/12/18,0,0,0,2,Others,,,,,,,
2021/12/19,0,0,0,4,Others,,,,,,,
2021/12/20,0,0,0,3,Others,,,,,,,
2021/12/21,0,0,0,4,Others,,,,,,,
2021/12/22,0,0,0,2,Others,,,,,,,
2021/12/23,0,0,0,2,Others,,,,,,,
2021/12/24,0,0,0,3,Others,,,,,,,
2021/12/25,0,0,0,3,Others,,,,,,,
2021/12/26,0,0,0,1,Others,,,,,,,
2021/12/27,0,0,0,4,Others,,,,,,,
2021/12/28,0,0,0,5,Others,,,,,,,
2021/12/29,0,0,0,6,Others,,,,,,,
2021/12/30,0,0,0,7,Others,,,,,,,
2021/12/31,0,0,0,2,Others,,,,,,,
2022/1/1,0,0,0,5,Others,,,,,,,
2022/1/2,0,0,0,2,Others,,,,,,,
2022/1/3,0,0,0,12,Others,,,,,,,
2022/1/4,0,0,0,2,Others,,,,,,,
2022/1/5,0,0,0,15,Others,,,,,,,
2022/1/6,0,0,0,2,Others,,,,,,,
2022/1/7,0,0,0,7,Others,,,,,,,
2022/1/8,0,0,0,24,Others,,,,,,,
2022/1/9,0,0,0,24,Others,,,,,,,
2022/1/10,0,0,0,17,Others,,,,,,,
2022/1/11,0,0,0,24,Others,,,,,,,
2022/1/12,0,0,0,22,Others,,,,,,,
2022/1/13,0,0,0,13,Others,,,,,,,
2022/1/14,0,0,0,35,Others,,,,,,,
2022/1/15,0,0,0,12,Others,,,,,,,
2022/1/16,0,0,0,19,Others,,,,,,,
2022/1/17,0,0,0,11,Others,,,,,,,
2022/1/18,0,0,0,16,Others,,,,,,,
2022/1/19,0,0,0,12,Others,,,,,,,
2022/1/20,0,0,0,24,Others,,,,,,,
2022/1/21,0,0,0,14,Others,,,,,,,
2022/1/22,0,0,0,15,Others,,,,,,,
2022/1/23,0,0,0,9,Others,,,,,,,
2022/1/24,0,0,0,16,Others,,,,,,,
2022/1/25,0,0,0,13,Others,,,,,,,
2022/1/26,0,0,0,9,Others,,,,,,,
2022/1/27,0,0,0,7,Others,,,,,,,
2022/1/28,0,0,0,16,Others,,,,,,,
2022/1/29,0,0,0,17,Others,,,,,,,
2022/1/30,0,0,0,9,Others,,,,,,,
2022/1/31,0,0,0,12,Others,,,,,,,
2022/2/1,0,0,0,20,Others,,,,,,,
2022/2/2,0,0,0,16,Others,,,,,,,
2022/2/3,0,0,0,6,Others,,,,,,,
2022/2/4,0,0,0,10,Others,,,,,,,
2022/2/5,0,0,0,2,Others,,,,,,,
2022/2/6,0,0,0,6,Others,,,,,,,
2022/2/7,0,0,0,6,Others,,,,,,,
2022/2/8,0,0,0,15,Others,,,,,,,
2022/2/9,0,0,0,5,Others,,,,,,,
2022/2/10,0,0,0,15,Others,,,,,,,
2022/2/11,0,0,0,5,Others,,,,,,,
2022/2/12,0,0,0,3,Others,,,,,,,
2022/2/13,0,0,0,1,Others,,,,,,,
2022/2/14,0,0,0,7,Others,,,,,,,
2022/2/15,0,0,0,2,Others,,,,,,,
2022/2/16,0,0,0,1,Others,,,,,,,
2022/2/17,0,0,0,5,Others,,,,,,,
2022/2/18,0,0,0,5,Others,,,,,,,
2022/2/19,0,0,0,10,Others,,,,,,,
2022/2/20,0,0,0,2,Others,,,,,,,
2022/2/21,0,0,0,8,Others,,,,,,,
2022/2/22,0,0,0,7,Others,,,,,,,
2022/2/23,0,0,0,7,Others,,,,,,,
