name,group
USA,01_USA
Australia,02_Australia
South Korea,03_South Korea
Canada,04_Canada
Japan,05_Japan
Austria,06_Austria
Germany,07_Germany
Luxembourg,08_Luxembourg
Denmark,09_Denmark
Singapore,10_Singapore
Shanghai,11_Shanghai
Yunnan,12_Yunnan
Sichuan,13_Sichuan
Hubei,14_Hubei
Heilongjiang,15_Heilongjiang
Xinjiang,16_Xinjiang
Fujian,17_Fujian
Guangdong,18_Guangdong
Shanxi,19_Shanxi
Henan,20_Henan
