name,group
South Korea,01_South Korea
USA,02_USA
Australia,03_Australia
Japan,04_Japan
Singapore,05_Singapore
Canada,06_Canada
Malaysia,07_Malaysia
New Zealand,08_New Zealand
Germany,09_Germany
France,10_France
Shanghai,11_Shanghai
Sichuan,12_Sichuan
Hubei,13_Hubei
Xinjiang,14_Xinjiang
Yunnan,15_Yunnan
Fujian,16_Fujian
Shanxi,17_Shanxi
Heilongjiang,18_Heilongjiang
Henan,19_Henan
Liaoning,20_Liaoning
