name,group
Hong Kong,01_Hong Kong
Japan,02_Japan
South Korea,03_South Korea
USA,04_USA
Canada,05_Canada
France,06_France
Singapore,07_Singapore
Australia,08_Australia
Germany,09_Germany
Israel,10_Israel
Beijing,11_Beijing
Shandong,12_Shandong
Shanghai,13_Shanghai
Zhejiang,14_Zhejiang
Hebei,15_Hebei
Anhui,16_Anhui
Fujian,17_Fujian
Jiangsu,18_Jiangsu
Hainan,19_Hainan
Heilongjiang,20_Heilongjiang
