name,group
South Korea,01_South Korea
Singapore,02_Singapore
USA,03_USA
Japan,04_Japan
Germany,05_Germany
Australia,06_Australia
United Kingdom,07_United Kingdom
France,08_France
Ireland,09_Ireland
Hong Kong,10_Hong Kong
Beijing,11_Beijing
Shanghai,12_Shanghai
Tianjin,13_Tianjin
Chongqing,14_Chongqing
Sichuan,15_Sichuan
Zhejiang,16_Zhejiang
Shandong,17_Shandong
Xinjiang,18_Xinjiang
Fujian,19_Fujian
Henan,20_Henan
