name,group
USA,01_USA
Japan,02_Japan
Australia,03_Australia
Singapore,04_Singapore
South Korea,05_South Korea
India,06_India
United Kingdom,07_United Kingdom
Malaysia,08_Malaysia
Hong Kong,09_Hong Kong
Indonesia,10_Indonesia
Shanghai,11_Shanghai
Guangdong,12_Guangdong
Yunnan,13_Yunnan
Hubei,14_Hubei
Sichuan,15_Sichuan
Fujian,16_Fujian
Jiangsu,17_Jiangsu
Xinjiang,18_Xinjiang
Beijing,19_Beijing
Jiangxi,20_Jiangxi
