,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,Neimenggu,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Xizang,Yunnan,Zhejiang,sum,local,import,export,sink_source
Heilongjiang,6.0,25.0,0.0,5.0,8.0,11.0,0.0,0.0,0.0,0.0,178.0,9.0,7.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,46.0,3.0,5.0,0.0,13.0,0.0,367.0,178.0,215.0,189.0,-26.0
Anhui,21.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,41.0,21.0,54.0,20.0,-34.0
Qinghai,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,70.0,48.0,64.0,22.0,-42.0
Jiangsu,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,41.0,1.0,100.0,40.0,-60.0
Gansu,1.0,5.0,0.0,3.0,118.0,4.0,0.0,2.0,0.0,0.0,4.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,14.0,6.0,14.0,1.0,5.0,0.0,6.0,0.0,199.0,118.0,144.0,81.0,-63.0
Fujian,1.0,7.0,0.0,46.0,5.0,3.0,0.0,1.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,9.0,0.0,1.0,0.0,12.0,0.0,112.0,46.0,136.0,66.0,-70.0
Yunnan,1.0,42.0,0.0,9.0,7.0,12.0,0.0,3.0,0.0,0.0,11.0,6.0,13.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,41.0,18.0,64.0,2.0,8.0,0.0,324.0,0.0,577.0,324.0,365.0,253.0,-112.0
Guangdong,5.0,6.0,0.0,3.0,2.0,71.0,0.0,2.0,0.0,0.0,9.0,6.0,5.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,38.0,5.0,8.0,0.0,5.0,0.0,8.0,0.0,183.0,71.0,231.0,112.0,-119.0
Henan,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,39.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0,2.0,1.0,5.0,0.0,3.0,0.0,81.0,39.0,183.0,42.0,-141.0
Beijing,1.0,48.0,0.0,1.0,8.0,6.0,0.0,1.0,0.0,0.0,15.0,16.0,6.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,45.0,4.0,10.0,1.0,9.0,0.0,17.0,0.0,208.0,48.0,320.0,160.0,-160.0
