,Dep Country Name,arr_prov,Total Est. Pax
705,Congo Democratic Republic of,Sichuan,2531
3672,Uganda,Shanghai,2531
788,Cyprus,Beijing,2527
3030,Serbia,Liaoning,2510
580,Canada,Chongqing,2509
830,Czech Republic,Sichuan,2506
2887,Russia,Anhui,2490
255,Bangladesh,Hubei,2467
745,Croatia,Beijing,2435
1548,Iraq,Shanghai,2435
2420,Netherlands,Hubei,2429
3703,United Arab Emirates,Jilin,2425
2683,Papua New Guinea,Fujian,2423
1085,France,Guizhou,2419
3713,United Arab Emirates,Tianjin,2409
2865,Romania,Guangdong,2402
207,Azerbaijan,Zhejiang,2396
3718,United Kingdom,Anhui,2395
1070,Finland,Shandong,2392
2453,New Zealand,Guizhou,2360
458,Brunei,Shanghai,2340
2661,Panama,Beijing,2337
1193,Germany,Henan,2328
2726,Philippines,Anhui,2324
260,Bangladesh,Liaoning,2295
2454,New Zealand,Hainan,2293
3356,Switzerland,Fujian,2288
553,Cambodia,Tianjin,2272
2069,Malaysia,Hebei,2257
3407,Taiwan,Qinghai,2250
2307,Mozambique,Beijing,2233
2448,New Zealand,Chongqing,2231
289,Belarus,Guangdong,2201
1091,France,Hunan,2192
268,Bangladesh,Sichuan,2185
1211,Germany,Yunnan,2172
2744,Philippines,Neimenggu,2171
2124,Mali,Guangdong,2160
1986,Luxembourg,Shanghai,2130
3728,United Kingdom,Heilongjiang,2127
466,Bulgaria,Beijing,2119
1386,Hungary,Fujian,2118
1901,Lebanon,Shanghai,2118
246,Bangladesh,Fujian,2114
3559,Tunisia,Shanghai,2109
2896,Russia,Hebei,2108
1464,India,Yunnan,2107
2470,New Zealand,Shanxi,2104
3079,Singapore,Hebei,2099
172,Austria,Sichuan,2092
3544,Tunisia,Beijing,2091
2421,Netherlands,Hunan,2090
2829,Qatar,Chongqing,2083
3634,USA,Guizhou,2083
2425,Netherlands,Liaoning,2079
649,Colombia,Beijing,2070
217,Bahrain,Beijing,2068
1511,Iran Islamic Republic of,Jiangsu,2067
1447,India,Henan,2063
1470,Indonesia,Gansu,2062
551,Cambodia,Shanxi,2059
3492,Thailand,Qinghai,2053
811,Czech Republic,Guangdong,2044
591,Canada,Hunan,2026
3272,Sri Lanka,Jiangsu,2016
2473,New Zealand,Xinjiang,2014
109,Armenia,Shanghai,2013
2027,Madagascar,Guangdong,2003
2391,Nepal,Jiangsu,1972
3383,Switzerland,Zhejiang,1969
3042,Serbia,Zhejiang,1964
2753,Philippines,Xinjiang,1964
3734,United Kingdom,Jilin,1952
2830,Qatar,Fujian,1936
1181,Georgia,Zhejiang,1933
1833,Laos,Anhui,1931
1327,Guinea,Shanghai,1930
740,Cote D'Ivoire,Shanghai,1928
3621,Turkmenistan,Xinjiang,1926
205,Azerbaijan,Xinjiang,1925
2985,Saudi Arabia,Qinghai,1916
1624,Italy,Hunan,1910
3239,Spain,Hubei,1909
856,Denmark,Shaanxi,1907
3419,Tajikistan,Beijing,1907
3651,USA,Shanxi,1893
1809,Kyrgyzstan,Guangdong,1879
1188,Germany,Guangxi,1877
2354,Namibia,Beijing,1872
2733,Philippines,Guizhou,1866
2430,Netherlands,Shandong,1854
1571,Ireland,Liaoning,1852
1844,Laos,Henan,1851
2422,Netherlands,Jiangsu,1835
1885,Lebanon,Beijing,1822
2079,Malaysia,Ningxia,1794
1453,India,Liaoning,1793
2305,Morocco,Zhejiang,1791
3162,South Africa,Jiangsu,1782
2676,Panama,Shanghai,1779
3830,Vietnam,Xinjiang,1779
1610,Israel,Zhejiang,1776
1509,Iran Islamic Republic of,Hubei,1769
604,Canada,Tianjin,1764
3510,Togo,Guangdong,1763
800,Cyprus,Shanghai,1756
1854,Laos,Shaanxi,1751
630,Chile,Guangdong,1751
3193,South Korea,Jiangxi,1750
3415,Taiwan,Xizang,1743
269,Bangladesh,Tianjin,1743
2262,Mongolia,Zhejiang,1742
679,Congo,Beijing,1738
1863,Latvia,Beijing,1733
769,Cuba,Beijing,1725
3627,USA,Anhui,1723
2750,Philippines,Shanxi,1721
2560,Norway,Guangdong,1713
264,Bangladesh,Shaanxi,1712
557,Cameroon,Beijing,1710
2848,Qatar,Sichuan,1705
1619,Italy,Hainan,1681
2464,New Zealand,Neimenggu,1679
2455,New Zealand,Hebei,1678
1246,Greece,Fujian,1675
2995,Senegal,Beijing,1673
1124,Gabon,Guangdong,1672
1675,Japan,Jiangxi,1667
1845,Laos,Hubei,1663
1969,Luxembourg,Beijing,1659
1799,Kuwait,Shanghai,1657
3725,United Kingdom,Guizhou,1655
3423,Tajikistan,Guangdong,1652
3352,Sweden,Zhejiang,1650
2093,Maldives,Chongqing,1646
371,Bolivia,Beijing,1642
2149,Malta,Shanghai,1637
2627,Pakistan,Jiangsu,1631
2437,Netherlands,Yunnan,1629
3695,United Arab Emirates,Hainan,1626
2170,Mauritius,Beijing,1602
1297,Guam,Shanghai,1600
2624,Pakistan,Henan,1599
2735,Philippines,Hebei,1598
201,Azerbaijan,Shanghai,1585
594,Canada,Jilin,1582
826,Czech Republic,Shaanxi,1577
3367,Switzerland,Jiangsu,1577
2990,Saudi Arabia,Sichuan,1559
100,Armenia,Guangdong,1559
652,Colombia,Guangdong,1559
1475,Indonesia,Hebei,1553
1879,Latvia,Shanghai,1541
80,Argentina,Guangdong,1535
2319,Mozambique,Shanghai,1528
2416,Netherlands,Hainan,1526
256,Bangladesh,Hunan,1525
2635,Pakistan,Shandong,1518
588,Canada,Heilongjiang,1516
3742,United Kingdom,Shanxi,1509
1089,France,Henan,1500
1084,France,Guangxi,1484
1032,Fiji,Beijing,1484
838,Denmark,Fujian,1483
2518,Nigeria,Zhejiang,1480
23,Albania,Shanghai,1478
2340,Myanmar,Liaoning,1478
1086,France,Hainan,1471
2221,Moldova Republic of,Beijing,1467
2371,Namibia,Shanghai,1462
3280,Sri Lanka,Shandong,1460
317,Belgium,Fujian,1457
2105,Maldives,Jiangsu,1457
2323,Myanmar,Anhui,1454
3197,South Korea,Ningxia,1454
3055,Sierra Leone,Beijing,1453
584,Canada,Guangxi,1445
338,Belgium,Sichuan,1441
3865,Zambia,Sichuan,1438
1962,Lithuania,Shanghai,1434
1621,Italy,Heilongjiang,1434
1133,Gabon,Shanghai,1432
2112,Maldives,Shaanxi,1429
12,Albania,Beijing,1424
418,Brazil,Fujian,1423
492,Burkina Faso,Guangdong,1419
572,Cameroon,Shanghai,1413
2891,Russia,Gansu,1396
1578,Ireland,Sichuan,1396
2481,Niger,Beijing,1395
1448,India,Hubei,1388
779,Cuba,Shanghai,1385
243,Bangladesh,Anhui,1378
2044,Malawi,Guangdong,1377
1640,Italy,Yunnan,1370
489,Burkina Faso,Beijing,1365
3009,Senegal,Shanghai,1365
2121,Mali,Beijing,1361
1232,Ghana,Sichuan,1350
3673,Uganda,Sichuan,1349
1776,Kenya,Zhejiang,1343
2108,Maldives,Liaoning,1340
2020,Macao (sar) China,Xinjiang,1339
3818,Vietnam,Jiangxi,1328
3578,Turkey,Hunan,1311
3446,Tajikistan,Zhejiang,1310
1197,Germany,Jiangxi,1306
3240,Spain,Hunan,1296
2006,Macao (sar) China,Hunan,1293
3209,South Sudan,Beijing,1278
374,Bolivia,Shanghai,1270
469,Bulgaria,Guangdong,1268
2331,Myanmar,Hainan,1266
984,Estonia,Shanghai,1262
444,Brunei,Guangxi,1254
3564,Tunisia,Zhejiang,1250
2902,Russia,Jiangxi,1236
451,Brunei,Hunan,1215
1408,Hungary,Sichuan,1211
3198,South Korea,Qinghai,1210
2358,Namibia,Guangdong,1207
2630,Pakistan,Liaoning,1202
3336,Sweden,Jiangsu,1195
1617,Italy,Guangxi,1194
865,Denmark,Zhejiang,1192
3127,Slovenia,Shanghai,1190
446,Brunei,Hainan,1189
3467,Tanzania United Republic of,Sichuan,1186
1177,Georgia,Sichuan,1185
161,Austria,Jiangsu,1184
169,Austria,Shandong,1182
2230,Moldova Republic of,Shanghai,1181
2134,Malta,Beijing,1173
3170,South Africa,Shandong,1168
1731,Kazakhstan,Jiangsu,1164
136,Australia,Ningxia,1158
1380,Hong Kong,Xizang,1157
2894,Russia,Guizhou,1149
2429,Netherlands,Shaanxi,1148
2130,Mali,Shanghai,1144
621,Chad,Guangdong,1142
2263,Montenegro,Beijing,1139
2913,Russia,Tianjin,1136
1769,Kenya,Shandong,1135
2976,Saudi Arabia,Henan,1133
834,Czech Republic,Zhejiang,1131
391,Bosnia and Herzegovina,Shanghai,1130
2986,Saudi Arabia,Shaanxi,1125
1088,France,Heilongjiang,1113
164,Austria,Liaoning,1111
2987,Saudi Arabia,Shandong,1110
2493,Nigeria,Chongqing,1108
1266,Greece,Sichuan,1106
245,Bangladesh,Chongqing,1104
2982,Saudi Arabia,Liaoning,1101
3365,Switzerland,Hubei,1098
1611,Italy,Anhui,1097
1508,Iran Islamic Republic of,Henan,1097
554,Cambodia,Xinjiang,1095
3306,Sudan,Shanghai,1094
1626,Italy,Jiangxi,1089
380,Bosnia and Herzegovina,Beijing,1088
2446,New Zealand,Anhui,1086
586,Canada,Hainan,1081
687,Congo,Shanghai,1081
501,Burkina Faso,Shanghai,1077
1263,Greece,Shandong,1064
3090,Singapore,Qinghai,1064
1832,Kyrgyzstan,Zhejiang,1063
1438,India,Chongqing,1061
2612,Oman,Zhejiang,1060
316,Belgium,Chongqing,1058
347,Benin,Beijing,1058
3347,Sweden,Sichuan,1057
866,Djibouti,Beijing,1054
2024,Madagascar,Beijing,1041
1190,Germany,Hainan,1041
2414,Netherlands,Guangxi,1038
531,Cambodia,Gansu,1035
3745,United Kingdom,Xinjiang,1034
3112,Slovenia,Beijing,1032
791,Cyprus,Guangdong,1032
3733,United Kingdom,Jiangxi,1029
2993,Saudi Arabia,Yunnan,1027
3753,Uruguay,Shanghai,1026
2450,New Zealand,Gansu,1023
2011,Macao (sar) China,Neimenggu,1015
1762,Kenya,Jiangsu,1014
1522,Iran Islamic Republic of,Sichuan,1004
3711,United Arab Emirates,Shanxi,1002
1635,Italy,Shanxi,1001
3571,Turkey,Guangxi,999
2215,Mexico,Zhejiang,996
715,Costa Rica,Guangdong,995
2730,Philippines,Gansu,993
3256,Spain,Yunnan,990
400,Botswana,Guangdong,989
1078,France,Anhui,988
1720,Kazakhstan,Fujian,984
151,Austria,Fujian,982
3749,Uruguay,Beijing,975
1094,France,Jilin,974
3261,Sri Lanka,Fujian,969
2554,Northern Mariana Islands,Zhejiang,967
1921,Liberia,Beijing,965
3098,Singapore,Xizang,964
1739,Kazakhstan,Shandong,961
1529,Iraq,Chongqing,959
3260,Sri Lanka,Chongqing,952
1669,Japan,Hebei,952
3238,Spain,Henan,948
2782,Poland,Sichuan,944
2809,Portugal,Shaanxi,944
3769,Uzbekistan,Hunan,942
350,Benin,Guangdong,937
624,Chad,Sichuan,936
2390,Nepal,Hunan,934
3582,Turkey,Liaoning,934
955,Equatorial Guinea,Shanghai,933
1192,Germany,Heilongjiang,931
3579,Turkey,Jiangsu,920
2791,Portugal,Fujian,918
1947,Lithuania,Beijing,917
3233,Spain,Guangxi,909
2042,Malawi,Beijing,908
69,Angola,Sichuan,907
2410,Netherlands,Chongqing,905
2389,Nepal,Hubei,904
2979,Saudi Arabia,Jiangsu,901
623,Chad,Shanghai,901
3017,Serbia,Fujian,897
1803,Kuwait,Zhejiang,895
3370,Switzerland,Liaoning,892
3038,Serbia,Sichuan,889
2080,Malaysia,Qinghai,888
2615,Pakistan,Chongqing,887
3567,Turkey,Chongqing,883
3798,Venezuela,Guangdong,880
2813,Portugal,Sichuan,876
3270,Sri Lanka,Hubei,876
1405,Hungary,Shandong,872
1627,Italy,Jilin,870
3355,Switzerland,Chongqing,869
1500,Iran Islamic Republic of,Fujian,868
1457,India,Shaanxi,868
3325,Sweden,Fujian,864
1938,Libya,Guangdong,862
1859,Laos,Tianjin,856
3275,Sri Lanka,Liaoning,855
749,Croatia,Guangdong,855
397,Botswana,Beijing,849
1514,Iran Islamic Republic of,Liaoning,848
3309,Suriname,Beijing,846
1206,Germany,Shanxi,844
3211,South Sudan,Guangdong,843
1462,India,Tianjin,838
412,Botswana,Shanghai,831
3889,Zimbabwe,Sichuan,830
2380,Nepal,Fujian,829
2102,Maldives,Henan,825
2626,Pakistan,Hunan,821
3052,Seychelles,Shanghai,820
2055,Malawi,Shanghai,806
602,Canada,Shanxi,806
2101,Maldives,Heilongjiang,805
2977,Saudi Arabia,Hubei,804
926,Egypt,Jiangsu,803
969,Estonia,Beijing,801
1341,Guyana,Shanghai,794
463,Brunei,Yunnan,793
1449,India,Hunan,790
2419,Netherlands,Henan,787
1485,Indonesia,Ningxia,783
3759,Uzbekistan,Fujian,780
507,Burundi,Guangdong,771
15,Albania,Guangdong,771
857,Denmark,Shandong,770
3581,Turkey,Jilin,769
896,Ecuador,Guangdong,768
2474,New Zealand,Xizang,766
2131,Mali,Sichuan,762
3160,South Africa,Hubei,758
3587,Turkey,Shandong,755
3271,Sri Lanka,Hunan,755
849,Denmark,Jiangsu,752
2886,Romania,Zhejiang,752
2301,Morocco,Sichuan,750
1397,Hungary,Jiangsu,748
3059,Sierra Leone,Guangdong,748
2394,Nepal,Liaoning,743
1586,Israel,Fujian,743
2771,Poland,Jiangsu,742
3705,United Arab Emirates,Neimenggu,742
3328,Sweden,Guangxi,740
2919,Rwanda,Beijing,737
3471,Tanzania United Republic of,Zhejiang,736
132,Australia,Jiangxi,732
1256,Greece,Jiangsu,731
3600,Turkmenistan,Guangdong,724
327,Belgium,Jiangsu,724
721,Costa Rica,Shanghai,722
3526,Tonga,Shanghai,719
1728,Kazakhstan,Henan,718
542,Cambodia,Jiangxi,717
2385,Nepal,Hainan,715
2075,Malaysia,Jiangxi,714
2958,Samoa,Shanghai,712
3702,United Arab Emirates,Jiangxi,712
2779,Poland,Shandong,708
2113,Maldives,Shandong,707
3227,Spain,Anhui,706
3440,Tajikistan,Shanghai,702
3269,Sri Lanka,Henan,697
3374,Switzerland,Shaanxi,696
3770,Uzbekistan,Jiangsu,696
2527,North Macedonia,Shanghai,696
2094,Maldives,Fujian,695
3438,Tajikistan,Shaanxi,693
1843,Laos,Heilongjiang,690
2760,Poland,Fujian,690
3693,United Arab Emirates,Guangxi,688
3319,Suriname,Shanghai,687
3385,Syrian Arab Republic,Guangdong,686
2810,Portugal,Shandong,685
950,Equatorial Guinea,Guangdong,685
688,Congo,Sichuan,685
3515,Togo,Shanghai,682
2238,Mongolia,Fujian,681
2863,Romania,Fujian,681
2274,Montenegro,Shanghai,681
3506,Togo,Beijing,681
3165,South Africa,Liaoning,678
2103,Maldives,Hubei,676
3575,Turkey,Heilongjiang,673
3696,United Arab Emirates,Hebei,669
574,Cameroon,Sichuan,667
1618,Italy,Guizhou,667
1547,Iraq,Shandong,663
1064,Finland,Jiangsu,663
3141,Somalia,Guangdong,659
3235,Spain,Hainan,656
3279,Sri Lanka,Shaanxi,654
2037,Madagascar,Shanghai,653
2327,Myanmar,Gansu,652
1518,Iran Islamic Republic of,Shaanxi,649
949,Equatorial Guinea,Beijing,644
3773,Uzbekistan,Liaoning,644
3043,Seychelles,Beijing,639
1768,Kenya,Shaanxi,638
1842,Laos,Hebei,638
1282,Guam,Beijing,637
159,Austria,Hubei,635
3375,Switzerland,Shandong,634
1035,Fiji,Guangdong,632
252,Bangladesh,Hebei,621
325,Belgium,Hubei,621
881,Dominican Republic,Guangdong,620
2255,Mongolia,Shandong,618
3541,Trinidad and Tobago,Shanghai,617
3694,United Arab Emirates,Guizhou,617
3274,Sri Lanka,Jilin,617
2415,Netherlands,Guizhou,616
547,Cambodia,Qinghai,616
670,Comoros,Guangdong,616
1550,Iraq,Sichuan,613
3339,Sweden,Liaoning,611
933,Egypt,Shandong,611
2549,Northern Mariana Islands,Shandong,607
3631,USA,Gansu,606
3646,USA,Ningxia,605
712,Costa Rica,Beijing,602
2623,Pakistan,Heilongjiang,601
1538,Iraq,Hubei,601
3586,Turkey,Shaanxi,597
1053,Finland,Chongqing,597
1734,Kazakhstan,Liaoning,592
488,Bulgaria,Zhejiang,587
3572,Turkey,Guizhou,586
1925,Liberia,Guangdong,585
585,Canada,Guizhou,585
1054,Finland,Fujian,584
2403,Nepal,Tianjin,584
1208,Germany,Tianjin,583
3722,United Kingdom,Gansu,583
2933,Rwanda,Shanghai,582
1825,Kyrgyzstan,Shandong,581
174,Austria,Xinjiang,581
2535,Northern Mariana Islands,Chongqing,576
3243,Spain,Jilin,575
3654,USA,Xinjiang,573
1765,Kenya,Liaoning,568
3592,Turkey,Xinjiang,568
1120,Gabon,Beijing,567
852,Denmark,Liaoning,567
137,Australia,Qinghai,566
526,Cabo Berde,Zhejiang,563
1167,Georgia,Jiangsu,562
3442,Tajikistan,Sichuan,558
1826,Kyrgyzstan,Shanghai,555
3531,Trinidad and Tobago,Beijing,555
145,Australia,Xizang,554
2461,New Zealand,Jiangxi,553
3386,Syrian Arab Republic,Shanghai,553
3573,Turkey,Hainan,552
2482,Niger,Guangdong,551
2248,Mongolia,Jiangsu,550
2967,Saudi Arabia,Chongqing,550
3645,USA,Neimenggu,547
1800,Kuwait,Sichuan,544
3282,Sri Lanka,Shanxi,543
1200,Germany,Neimenggu,542
2488,Niger,Shanghai,541
3139,Somalia,Beijing,540
2223,Moldova Republic of,Guangdong,538
1481,Indonesia,Jiangxi,536
383,Bosnia and Herzegovina,Guangdong,536
2951,Samoa,Hainan,536
2038,Madagascar,Sichuan,535
3334,Sweden,Hubei,534
3268,Sri Lanka,Heilongjiang,533
361,Benin,Shanghai,533
867,Djibouti,Guangdong,533
1828,Kyrgyzstan,Sichuan,530
1857,Laos,Shanxi,529
1209,Germany,Xinjiang,528
1596,Israel,Jiangsu,527
669,Comoros,Beijing,526
3623,Turkmenistan,Zhejiang,525
3010,Senegal,Sichuan,520
3344,Sweden,Shandong,517
1102,France,Shanxi,513
3237,Spain,Heilongjiang,512
2388,Nepal,Henan,510
1719,Kazakhstan,Chongqing,509
2579,Norway,Sichuan,509
1729,Kazakhstan,Hubei,509
253,Bangladesh,Heilongjiang,508
1850,Laos,Liaoning,508
3169,South Africa,Shaanxi,505
3736,United Kingdom,Neimenggu,504
2707,Peru,Guangdong,500
1519,Iran Islamic Republic of,Shandong,497
2424,Netherlands,Jilin,497
1945,Libya,Zhejiang,494
1725,Kazakhstan,Hainan,492
1093,France,Jiangxi,489
848,Denmark,Hunan,488
2616,Pakistan,Fujian,486
2243,Mongolia,Hainan,485
1730,Kazakhstan,Hunan,485
1646,Jamaica,Guangdong,485
2320,Mozambique,Sichuan,484
168,Austria,Shaanxi,481
1104,France,Tianjin,481
2968,Saudi Arabia,Fujian,480
1259,Greece,Liaoning,479
1866,Latvia,Guangdong,479
1328,Guinea,Sichuan,475
3768,Uzbekistan,Hubei,472
2641,Pakistan,Yunnan,471
1582,Ireland,Zhejiang,470
330,Belgium,Liaoning,468
1997,Macao (sar) China,Gansu,468
3251,Spain,Shanxi,467
1499,Iran Islamic Republic of,Chongqing,466
48,Algeria,Sichuan,465
313,Belarus,Zhejiang,465
1851,Laos,Neimenggu,464
2104,Maldives,Hunan,464
3432,Tajikistan,Jiangsu,462
957,Eritrea,Beijing,460
150,Austria,Chongqing,459
2617,Pakistan,Gansu,458
314,Belgium,Anhui,457
2790,Portugal,Chongqing,457
326,Belgium,Hunan,456
1395,Hungary,Hubei,455
502,Burkina Faso,Sichuan,453
1629,Italy,Neimenggu,453
267,Bangladesh,Shanxi,452
841,Denmark,Guangxi,451
2107,Maldives,Jilin,451
2769,Poland,Hubei,449
2210,Mexico,Shandong,449
3343,Sweden,Shaanxi,448
505,Burundi,Beijing,447
3150,South Africa,Chongqing,446
1136,Gambia,Beijing,443
1568,Ireland,Jiangsu,442
3159,South Africa,Henan,442
2254,Mongolia,Shaanxi,442
2879,Romania,Shandong,442
2333,Myanmar,Heilongjiang,437
1656,Jamaica,Shanghai,436
2137,Malta,Guangdong,436
1688,Japan,Xizang,435
2541,Northern Mariana Islands,Heilongjiang,435
1950,Lithuania,Guangdong,434
203,Azerbaijan,Sichuan,434
1400,Hungary,Liaoning,432
2774,Poland,Liaoning,431
3221,South Sudan,Shanghai,430
3766,Uzbekistan,Heilongjiang,430
3778,Uzbekistan,Shandong,430
3258,Sri Lanka,Anhui,429
741,Cote D'Ivoire,Sichuan,428
2973,Saudi Arabia,Hainan,426
3772,Uzbekistan,Jilin,425
873,Djibouti,Shanghai,424
1396,Hungary,Hunan,424
1452,India,Jilin,423
302,Belarus,Neimenggu,422
1189,Germany,Guizhou,422
3253,Spain,Tianjin,422
1249,Greece,Guangxi,418
1574,Ireland,Shaanxi,416
1643,Jamaica,Beijing,415
605,Canada,Xinjiang,413
3025,Serbia,Hubei,413
1296,Guam,Shandong,413
434,Brazil,Sichuan,413
3429,Tajikistan,Henan,411
2576,Norway,Shandong,407
1284,Guam,Fujian,405
3115,Slovenia,Guangdong,405
1156,Georgia,Fujian,401
335,Belgium,Shandong,400
2423,Netherlands,Jiangxi,399
1513,Iran Islamic Republic of,Jilin,398
298,Belarus,Jiangsu,397
3284,Sri Lanka,Tianjin,396
2196,Mexico,Fujian,395
889,Dominican Republic,Shanghai,395
3333,Sweden,Henan,394
1750,Kenya,Chongqing,393
3085,Singapore,Jiangxi,393
306,Belarus,Shandong,392
1245,Greece,Chongqing,392
309,Belarus,Sichuan,392
3676,Uganda,Zhejiang,391
2383,Nepal,Guangxi,391
3617,Turkmenistan,Shanghai,389
3593,Turkey,Yunnan,388
1186,Germany,Gansu,384
2882,Romania,Sichuan,384
1815,Kyrgyzstan,Henan,382
878,Dominican Republic,Beijing,381
3402,Taiwan,Jiangxi,381
1404,Hungary,Shaanxi,378
2372,Namibia,Sichuan,376
964,Eritrea,Shanghai,376
1164,Georgia,Henan,373
1069,Finland,Shaanxi,373
3276,Sri Lanka,Neimenggu,373
1173,Georgia,Shaanxi,373
3487,Thailand,Jiangxi,373
449,Brunei,Henan,372
2330,Myanmar,Guizhou,369
2551,Northern Mariana Islands,Sichuan,369
3324,Sweden,Chongqing,368
2387,Nepal,Heilongjiang,367
959,Eritrea,Guangdong,366
1077,Finland,Zhejiang,363
247,Bangladesh,Gansu,363
3067,Sierra Leone,Shanghai,362
160,Austria,Hunan,361
1820,Kyrgyzstan,Liaoning,361
1285,Guam,Guangdong,360
3366,Switzerland,Hunan,360
2235,Mongolia,Anhui,359
3831,Vietnam,Xizang,357
3647,USA,Qinghai,357
1174,Georgia,Shandong,356
3016,Serbia,Chongqing,356
615,Central African Republic,Guangdong,355
1594,Israel,Hubei,355
3206,South Korea,Xizang,354
163,Austria,Jilin,354
1166,Georgia,Hunan,354
92,Argentina,Sichuan,353
894,Ecuador,Fujian,352
2377,Nepal,Anhui,352
1751,Kenya,Fujian,351
2935,Rwanda,Sichuan,349
1817,Kyrgyzstan,Hunan,347
2249,Mongolia,Jiangxi,347
847,Denmark,Hubei,345
2002,Macao (sar) China,Hebei,344
3335,Sweden,Hunan,344
3146,Somalia,Shanghai,343
1034,Fiji,Fujian,342
2939,Rwanda,Zhejiang,342
1335,Guyana,Beijing,341
1057,Finland,Guangxi,340
414,Botswana,Zhejiang,339
1908,Lesotho,Beijing,339
2558,Norway,Fujian,337
3382,Switzerland,Yunnan,337
578,Canada,Anhui,336
915,Egypt,Fujian,335
1911,Lesotho,Guangdong,334
3368,Switzerland,Jiangxi,333
837,Denmark,Chongqing,333
3224,South Sudan,Tianjin,333
3767,Uzbekistan,Henan,332
1419,Iceland,Guangdong,331
259,Bangladesh,Jilin,331
341,Belgium,Yunnan,330
1165,Georgia,Hubei,330
3615,Turkmenistan,Shaanxi,329
2339,Myanmar,Jilin,329
2347,Myanmar,Shanxi,329
301,Belarus,Liaoning,329
3242,Spain,Jiangxi,328
1537,Iraq,Henan,326
2109,Maldives,Neimenggu,325
1096,France,Neimenggu,325
2408,Netherlands,Anhui,324
1717,Kazakhstan,Anhui,322
2117,Maldives,Tianjin,322
2393,Nepal,Jilin,322
2418,Netherlands,Heilongjiang,321
2569,Norway,Jiangsu,319
1510,Iran Islamic Republic of,Hunan,319
1992,Luxembourg,Zhejiang,318
242,Bahrain,Zhejiang,317
3707,United Arab Emirates,Qinghai,317
676,Comoros,Shanghai,314
820,Czech Republic,Jiangsu,313
1917,Lesotho,Shanghai,313
3223,South Sudan,Sichuan,309
2794,Portugal,Guangxi,308
2251,Mongolia,Liaoning,308
1602,Israel,Shandong,307
3439,Tajikistan,Shandong,305
1837,Laos,Gansu,305
328,Belgium,Jiangxi,304
941,El Salvador,Beijing,303
11,Afghanistan,Zhejiang,303
2546,Northern Mariana Islands,Liaoning,303
1254,Greece,Hubei,302
2613,Pakistan,Anhui,302
3636,USA,Hebei,299
935,Egypt,Shanxi,299
3642,USA,Jiangxi,298
3576,Turkey,Henan,298
1780,Kuwait,Chongqing,297
3464,Tanzania United Republic of,Shandong,296
2465,New Zealand,Ningxia,294
2519,North Macedonia,Beijing,292
2621,Pakistan,Hainan,291
2639,Pakistan,Tianjin,291
2631,Pakistan,Neimenggu,288
2489,Niger,Sichuan,287
1497,Iran Islamic Republic of,Anhui,287
55,Angola,Fujian,286
251,Bangladesh,Hainan,286
432,Brazil,Shandong,285
3311,Suriname,Guangdong,285
297,Belarus,Hunan,285
3737,United Kingdom,Ningxia,284
1790,Kuwait,Hubei,284
2778,Poland,Shaanxi,283
3026,Serbia,Hunan,283
2545,Northern Mariana Islands,Jilin,282
1631,Italy,Qinghai,282
1486,Indonesia,Qinghai,281
2992,Saudi Arabia,Xinjiang,281
3521,Tonga,Guangdong,281
1066,Finland,Liaoning,279
2858,Reunion,Shanghai,279
3796,Venezuela,Beijing,279
914,Egypt,Chongqing,278
3504,Timor-leste,Guangdong,277
546,Cambodia,Ningxia,276
2258,Mongolia,Sichuan,274
2605,Oman,Shandong,274
3751,Uruguay,Guangdong,272
1062,Finland,Hubei,272
2802,Portugal,Jiangsu,272
1153,Georgia,Anhui,272
2643,Palau,Beijing,272
158,Austria,Henan,272
1117,French Polynesia,Shanghai,271
2266,Montenegro,Guangdong,271
38,Algeria,Hubei,269
3418,Tajikistan,Anhui,268
3516,Togo,Sichuan,267
1816,Kyrgyzstan,Hubei,267
2759,Poland,Chongqing,267
2693,Papua New Guinea,Shanghai,266
2548,Northern Mariana Islands,Shaanxi,266
516,Burundi,Shanghai,265
1818,Kyrgyzstan,Jiangsu,265
3520,Tonga,Fujian,265
808,Czech Republic,Chongqing,264
261,Bangladesh,Neimenggu,262
181,Azerbaijan,Fujian,262
3430,Tajikistan,Hubei,260
3364,Switzerland,Henan,260
3758,Uzbekistan,Chongqing,259
2805,Portugal,Liaoning,258
846,Denmark,Henan,257
3273,Sri Lanka,Jiangxi,256
1566,Ireland,Hubei,254
3337,Sweden,Jiangxi,253
1937,Libya,Beijing,253
2629,Pakistan,Jilin,253
1764,Kenya,Jilin,252
965,Eritrea,Sichuan,252
596,Canada,Neimenggu,251
1202,Germany,Qinghai,251
1563,Ireland,Hainan,250
3308,Sudan,Zhejiang,249
1050,Fiji,Zhejiang,249
2583,Norway,Zhejiang,249
3359,Switzerland,Guangxi,248
2332,Myanmar,Hebei,248
1047,Fiji,Sichuan,248
3045,Seychelles,Guangdong,247
805,Cyprus,Zhejiang,247
1721,Kazakhstan,Gansu,247
1972,Luxembourg,Guangdong,247
918,Egypt,Guangxi,247
1011,Ethiopia,Jiangsu,245
2741,Philippines,Jiangxi,245
1105,France,Xinjiang,244
1082,France,Gansu,243
192,Azerbaijan,Jiangsu,243
2157,Martinique,Beijing,241
2544,Northern Mariana Islands,Jiangsu,240
1155,Georgia,Chongqing,240
2522,North Macedonia,Guangdong,240
3431,Tajikistan,Hunan,239
3035,Serbia,Shandong,238
2854,Reunion,Guangdong,237
625,Chad,Zhejiang,237
