,Dep Country Name,arr_prov,Total Est. Pax
3404,Taiwan,Liaoning,35356
1636,Italy,Sichuan,35221
1083,France,Guangdong,35145
2328,Myanmar,Guangdong,35003
3400,Taiwan,Hunan,34602
3832,Vietnam,Yunnan,34441
2015,Macao (sar) China,Shandong,33811
2756,Philippines,Zhejiang,33603
3743,United Kingdom,Sichuan,33443
3652,USA,Sichuan,33431
2966,Saudi Arabia,Beijing,33404
3479,Thailand,Guizhou,33245
2066,Malaysia,Guangxi,33005
1676,Japan,Jilin,32419
147,Australia,Zhejiang,32174
552,Cambodia,Sichuan,31941
2005,Macao (sar) China,Hubei,31800
3354,Switzerland,Beijing,31706
3472,Thailand,Anhui,31702
3757,Uzbekistan,Beijing,31063
3480,Thailand,Hainan,30882
1673,Japan,Hunan,29852
3451,Tanzania United Republic of,Guangdong,29770
2909,Russia,Shandong,29638
2895,Russia,Hainan,29577
3393,Taiwan,Guangxi,29177
3153,South Africa,Guangdong,29176
2751,Philippines,Sichuan,28855
3709,United Arab Emirates,Shandong,28673
1498,Iran Islamic Republic of,Beijing,28665
555,Cambodia,Yunnan,28427
533,Cambodia,Guangxi,27895
3395,Taiwan,Hainan,27722
603,Canada,Sichuan,27643
1207,Germany,Sichuan,27432
129,Australia,Hubei,27406
2897,Russia,Heilongjiang,27247
2447,New Zealand,Beijing,27073
3814,Vietnam,Henan,27065
134,Australia,Liaoning,26791
2062,Malaysia,Chongqing,26711
3816,Vietnam,Hunan,26676
3398,Taiwan,Henan,26556
3189,South Korea,Henan,26524
128,Australia,Henan,26431
3232,Spain,Guangdong,26232
940,Egypt,Zhejiang,26145
2081,Malaysia,Shaanxi,26082
3408,Taiwan,Shaanxi,25932
1071,Finland,Shanghai,25889
1668,Japan,Hainan,25670
1020,Ethiopia,Shanghai,25489
3717,United Arab Emirates,Zhejiang,25478
2082,Malaysia,Shandong,25285
1363,Hong Kong,Henan,25012
3281,Sri Lanka,Shanghai,25005
1995,Macao (sar) China,Chongqing,24924
2917,Russia,Zhejiang,24842
2614,Pakistan,Beijing,24786
2409,Netherlands,Beijing,24548
3076,Singapore,Guangxi,24481
1671,Japan,Henan,24458
3083,Singapore,Hunan,24282
2019,Macao (sar) China,Tianjin,24161
913,Egypt,Beijing,24120
170,Austria,Shanghai,24094
3721,United Kingdom,Fujian,24039
858,Denmark,Shanghai,23903
1478,Indonesia,Hubei,23865
2074,Malaysia,Jiangsu,23819
3184,South Korea,Guangxi,23801
2618,Pakistan,Guangdong,23388
3649,USA,Shandong,23342
3815,Vietnam,Hubei,23315
3072,Singapore,Chongqing,23290
3740,United Kingdom,Shandong,23287
3099,Singapore,Yunnan,23115
1002,Ethiopia,Guangdong,22809
2071,Malaysia,Henan,22800
3644,USA,Liaoning,22658
3345,Sweden,Shanghai,22612
1603,Israel,Shanghai,22395
1744,Kazakhstan,Xinjiang,22322
3482,Thailand,Heilongjiang,22278
1614,Italy,Fujian,22265
3263,Sri Lanka,Guangdong,22094
2073,Malaysia,Hunan,22050
1437,India,Beijing,22016
528,Cambodia,Beijing,21982
541,Cambodia,Jiangsu,21951
1357,Hong Kong,Guangdong,21946
3496,Thailand,Shanxi,21930
1488,Indonesia,Shandong,21912
3086,Singapore,Jilin,21718
29,Algeria,Beijing,21640
1753,Kenya,Guangdong,21477
2496,Nigeria,Guangdong,21441
1783,Kuwait,Guangdong,21015
3657,USA,Zhejiang,20847
3488,Thailand,Jilin,20617
2413,Netherlands,Guangdong,20415
2402,Nepal,Sichuan,20061
581,Canada,Fujian,19721
2748,Philippines,Shandong,19698
433,Brazil,Shanghai,19654
138,Australia,Shaanxi,19569
3805,Vietnam,Chongqing,19530
1495,Indonesia,Yunnan,19422
999,Ethiopia,Beijing,19240
3596,Turkmenistan,Beijing,19238
3481,Thailand,Hebei,19168
2017,Macao (sar) China,Shanxi,19056
3777,Uzbekistan,Shaanxi,19027
1625,Italy,Jiangsu,18818
3397,Taiwan,Heilongjiang,18733
3413,Taiwan,Tianjin,18658
3689,United Arab Emirates,Chongqing,18628
538,Cambodia,Henan,18585
1474,Indonesia,Hainan,18528
2758,Poland,Beijing,18360
556,Cambodia,Zhejiang,18339
1022,Ethiopia,Sichuan,18337
2346,Myanmar,Shanghai,18269
1477,Indonesia,Henan,18254
3230,Spain,Fujian,18191
1352,Hong Kong,Anhui,18062
1666,Japan,Guangxi,17926
3015,Serbia,Beijing,17835
1212,Germany,Zhejiang,17495
1244,Greece,Beijing,17319
2211,Mexico,Shanghai,17059
149,Austria,Beijing,16926
836,Denmark,Beijing,16913
2077,Malaysia,Liaoning,16874
3387,Taiwan,Anhui,16567
2096,Maldives,Guangdong,16488
1487,Indonesia,Shaanxi,16482
2908,Russia,Shaanxi,16368
1379,Hong Kong,Xinjiang,16310
3411,Taiwan,Shanxi,16282
2817,Portugal,Zhejiang,16190
3476,Thailand,Gansu,16148
2086,Malaysia,Tianjin,16042
1584,Israel,Beijing,15999
3590,Turkey,Sichuan,15991
3403,Taiwan,Jilin,15918
3781,Uzbekistan,Sichuan,15915
143,Australia,Tianjin,15915
3414,Taiwan,Xinjiang,15886
1264,Greece,Shanghai,15863
285,Belarus,Beijing,15808
315,Belgium,Beijing,15635
3748,United Kingdom,Zhejiang,15624
2411,Netherlands,Fujian,15617
3739,United Kingdom,Shaanxi,15323
3080,Singapore,Heilongjiang,15194
3394,Taiwan,Guizhou,15136
2068,Malaysia,Hainan,15120
2378,Nepal,Beijing,15117
3323,Sweden,Beijing,15105
1556,Ireland,Beijing,15060
1465,India,Zhejiang,15011
2252,Mongolia,Neimenggu,14744
130,Australia,Hunan,14544
266,Bangladesh,Shanghai,14509
3171,South Africa,Shanghai,14386
119,Australia,Chongqing,14156
2014,Macao (sar) China,Shaanxi,14074
2438,Netherlands,Zhejiang,14031
1406,Hungary,Shanghai,13958
3490,Thailand,Neimenggu,13753
3396,Taiwan,Hebei,13617
1761,Kenya,Hunan,13570
32,Algeria,Guangdong,13533
2755,Philippines,Yunnan,13528
1199,Germany,Liaoning,13415
1613,Italy,Chongqing,13341
3731,United Kingdom,Hunan,13338
3699,United Arab Emirates,Hubei,13317
1479,Indonesia,Hunan,13247
2740,Philippines,Jiangsu,13168
2728,Philippines,Chongqing,13136
3178,South Korea,Anhui,12979
2353,Myanmar,Zhejiang,12970
3824,Vietnam,Shaanxi,12913
1667,Japan,Guizhou,12910
3149,South Africa,Beijing,12772
1532,Iraq,Guangdong,12741
2780,Poland,Shanghai,12664
2636,Pakistan,Shanghai,12632
3036,Serbia,Shanghai,12590
3358,Switzerland,Guangdong,12580
2625,Pakistan,Hubei,12498
3641,USA,Jiangsu,12440
1588,Israel,Guangdong,12416
3720,United Kingdom,Chongqing,12353
1696,Jordan,Guangdong,12335
2577,Norway,Shanghai,12182
1368,Hong Kong,Jilin,12140
539,Cambodia,Hubei,12129
1576,Ireland,Shanghai,12127
934,Egypt,Shanghai,12125
2326,Myanmar,Fujian,12099
3391,Taiwan,Gansu,12095
1472,Indonesia,Guangxi,11969
2738,Philippines,Hubei,11840
3187,South Korea,Hebei,11820
3735,United Kingdom,Liaoning,11768
2240,Mongolia,Guangdong,11700
3820,Vietnam,Liaoning,11554
2064,Malaysia,Gansu,11514
3629,USA,Chongqing,11409
336,Belgium,Shanghai,11339
1824,Kyrgyzstan,Shaanxi,11318
272,Bangladesh,Yunnan,11285
3730,United Kingdom,Hubei,11263
2471,New Zealand,Sichuan,11262
1742,Kazakhstan,Sichuan,11233
125,Australia,Hainan,11214
1722,Kazakhstan,Guangdong,11213
1371,Hong Kong,Ningxia,11203
3259,Sri Lanka,Beijing,11126
3639,USA,Hubei,11107
1687,Japan,Xinjiang,11021
319,Belgium,Guangdong,10954
146,Australia,Yunnan,10943
3829,Vietnam,Tianjin,10919
3783,Uzbekistan,Xinjiang,10770
3039,Serbia,Tianjin,10763
2811,Portugal,Shanghai,10754
2739,Philippines,Hunan,10626
2988,Saudi Arabia,Shanghai,10525
3803,Vietnam,Anhui,10514
1362,Hong Kong,Heilongjiang,10469
1103,France,Sichuan,10452
3732,United Kingdom,Jiangsu,10434
1468,Indonesia,Chongqing,10414
273,Bangladesh,Zhejiang,10316
2463,New Zealand,Liaoning,10197
3185,South Korea,Guizhou,10179
416,Brazil,Beijing,10063
3283,Sri Lanka,Sichuan,10021
549,Cambodia,Shandong,9984
3405,Taiwan,Neimenggu,9982
1528,Iraq,Beijing,9974
1204,Germany,Shandong,9843
